"duration","deaths","area","gdp","country","lat","lon","Began","Ended","dismagvalue","lm_USD","rf_USD","xgb_USD","svr_USD","brnn_USD","knn_USD"
61,48,445000,6.86e+12,"United States of America (the)",NA,NA,"1993/06/24","1993/08/23",445000,3314134000,7295143000,4172974000,5915320000,2481779000,6674537000
1,15,3895,51809949334,"Pakistan",NA,NA,"1993/07/07","1993/07/07",3895,4776000,2464000,3640000,6178000,3692000,2473000
24,827,80937,2.79e+11,"India",NA,NA,"1993/07/08","1993/07/31",80937,507398000,2331478000,824469000,1063784000,912496000,1175515000
19,4,3050,65607522124,"Ukraine",NA,NA,"1993/07/25","1993/08/12",3050,12778000,37771000,14887000,39405000,19047000,6562000
6,41,9500,4.45e+11,"China",NA,NA,"1993/07/27","1993/08/01",9500,134794000,32422000,80019000,57063000,106935000,32299000
1,1048,373,3660041667,"Nepal",NA,NA,"1993/08/23","1993/08/23",373,4511000,61489000,15749000,6684000,8252000,9159000
7,45,8000,5.01e+11,"Mexico",NA,NA,"1993/09/16","1993/09/22",8000,176467000,79759000,91886000,79309000,141966000,59319000
11,64,29440,13180953598,"Viet Nam",NA,NA,"1993/10/02","1993/10/12",29440,5419000,7207000,4679000,4009000,4501000,13044000
13,1,4160,3.12e+11,"Australia",NA,NA,"1993/10/03","1993/10/15",4160,23705000,17169000,38435000,229520000,63600000,115735000
1,5,1170,4669488516,"Trinidad and Tobago",NA,NA,"1993/10/05","1993/10/05",1170,306000,166000,777000,646000,308000,265000
3,12,5890,1.47e+11,"South Africa",NA,NA,"1993/10/06","1993/10/08",5890,18759000,101248000,9365000,10938000,15281000,116581000
2,22,39700,49945599429,"Algeria",NA,NA,"1993/10/19","1993/10/20",39700,5079000,5783000,3638000,5284000,4134000,3276000
4,374,6650,4926728933,"Honduras",NA,NA,"1993/10/31","1993/11/03",6650,4069000,18316000,7294000,3014000,5695000,5977000
5,34,19320,22367254865,"Cuba",NA,NA,"1993/11/24","1993/11/28",19320,4970000,17751000,4004000,2420000,3853000,9369000
6,23,56410,1.29e+11,"Thailand",NA,NA,"1993/11/27","1993/12/02",56410,21050000,227349000,23090000,14153000,15901000,32187000
3,25,360,62036625222,"Philippines (the)",NA,NA,"1993/11/29","1993/12/01",360,19130000,15395000,20241000,26859000,16534000,29850000
5,5,4260,65607522124,"Ukraine",NA,NA,"1993/12/20","1993/12/24",4260,7215000,26380000,5630000,8925000,7960000,27373000
11,1,460,3.54e+11,"Netherlands (the)",NA,NA,"1993/12/21","1993/12/31",460,37109000,71935000,101737000,182993000,116281000,159202000
6,30,103800,66894837030,"Malaysia",NA,NA,"1993/12/22","1993/12/27",103800,11190000,9186000,10281000,8684000,8888000,4789000
2,72,4050,1.58e+11,"Indonesia",NA,NA,"1993/12/26","1993/12/27",4050,44539000,8331000,22342000,18661000,38937000,3928000
6,10,70,1.39e+12,"France",NA,NA,"1994/01/07","1994/01/12",70,500155000,53501000,250966000,368960000,507348000,787812000
5,31,5,4510846968,"Tanzania, United Republic of",NA,NA,"1994/01/09","1994/01/13",5,4288000,563000,201000,1639000,2049000,682000
5,52,299,44882079767,"Peru",NA,NA,"1994/02/21","1994/02/25",299,26417000,70750000,33306000,29778000,21689000,59697000
1,1,350,3.95e+11,"Russian Federation (the)",NA,NA,"1994/03/01","1994/03/01",350,14168000,26374000,73143000,63046000,33344000,19646000
14,9,36860,73159245526,"Philippines (the)",NA,NA,"1994/03/18","1994/03/31",36860,11879000,2827000,12917000,11055000,10089000,12282000
4,33,36280,1.77e+11,"Indonesia",NA,NA,"1994/03/23","1994/03/26",36280,31121000,26956000,31682000,19041000,24652000,8649000
1,2,1497,2.21e+12,"Germany",NA,NA,"1994/04/13","1994/04/13",1497,86703000,129171000,264356000,251883000,118874000,66865000
3,95,165700,5.64e+11,"China",NA,NA,"1994/05/01","1994/05/03",165700,112813000,224490000,72002000,223775000,148089000,445757000
1,12,38,28448326757,"Cuba",NA,NA,"1994/05/18","1994/05/18",38,5428000,7018000,3514000,18654000,5366000,8516000
19,258,1015000,5.64e+11,"China",NA,NA,"1994/07/11","1994/07/29",1015000,320538000,2411677000,982798000,500947000,514094000,894782000
8,41,183800,5.64e+11,"China",NA,NA,"1994/07/11","1994/07/18",183800,114105000,61763000,81620000,92666000,96202000,55565000
1,5,1820,1.77e+11,"Indonesia",NA,NA,"1994/07/12","1994/07/12",1820,10697000,4702000,29465000,20657000,10338000,10031000
12,2,25390,73159245526,"Philippines (the)",NA,NA,"1994/07/22","1994/08/02",25390,5490000,4609000,7981000,16236000,7824000,10089000
22,128,1330000,5.64e+11,"China",NA,NA,"1994/07/23","1994/08/13",1330000,228572000,9562000,99788000,322222000,281853000,332855000
106,310,65260,16286433533,"Viet Nam",NA,NA,"1994/09/04","1994/12/18",65260,37411000,132595000,134642000,79102000,43227000,48840000
5,30,270,33833042988,"Nigeria",NA,NA,"1994/09/11","1994/09/15",270,15322000,27903000,18247000,16822000,12996000,39748000
10,18,25000,3.95e+11,"Russian Federation (the)",NA,NA,"1994/09/17","1994/09/26",25000,83746000,162948000,56451000,63805000,64828000,91907000
7,37,72990,7.29e+12,"United States of America (the)",NA,NA,"1994/10/17","1994/10/23",72990,1555021000,589296000,1157503000,1132570000,1232507000,540003000
1,11,667,1.47e+11,"Thailand",NA,NA,"1994/10/21","1994/10/21",667,15941000,44224000,28492000,39031000,13862000,15735000
4,14,36620,1.17e+11,"Greece",NA,NA,"1994/10/24","1994/10/27",36620,13259000,80997000,12957000,8916000,10068000,6665000
10,68,90170,1.1e+12,"Italy",NA,NA,"1994/11/01","1994/11/10",90170,363977000,1433500000,327259000,327234000,318681000,326302000
7,600,44070,51897983393,"Egypt",NA,NA,"1994/11/02","1994/11/08",44070,50274000,115392000,90500000,107579000,89516000,72428000
15,12,271200,71841461173,"Iran (Islamic Republic of)",NA,NA,"1994/11/14","1994/11/28",271200,9709000,38489000,10267000,4855000,7124000,19479000
15,47,9,2.02e+11,"Indonesia",NA,NA,"1995/02/03","1995/02/17",9,356817000,4795000,14636000,49930000,127311000,35610000
1,10,1120,96419225744,"Iran (Islamic Republic of)",NA,NA,"1995/04/21","1995/04/21",1120,9065000,52552000,18689000,17887000,7729000,20802000
18,27,67450,7663984568,"Ethiopia",NA,NA,"1995/04/28","1995/05/15",67450,2197000,1012000,1969000,1290000,1644000,3378000
5,3,27550,13029697561,"Sri Lanka",NA,NA,"1995/05/07","1995/05/11",27550,787000,753000,868000,968000,830000,637000
1,27,10,2.02e+11,"Indonesia",NA,NA,"1995/05/07","1995/05/07",10,74290000,28213000,6368000,161185000,57166000,34671000
7,6,19340,7.64e+12,"United States of America (the)",NA,NA,"1995/05/07","1995/05/13",19340,819926000,2556557000,874432000,928138000,756506000,1584592000
23,3,472100,7.64e+12,"United States of America (the)",NA,NA,"1995/05/10","1995/06/01",472100,562144000,85696000,600859000,551649000,523564000,569190000
1,50,44,37939748769,"Bangladesh",NA,NA,"1995/05/15","1995/05/15",44,14599000,29842000,7878000,43918000,11744000,18796000
93,1437,1668000,7.35e+11,"China",NA,NA,"1995/05/15","1995/08/15",1668000,1927623000,4523298000,4640513000,1631496000,4155290000,769304000
8,41,61220,37939748769,"Bangladesh",NA,NA,"1995/05/17","1995/05/24",61220,9373000,1056000,6552000,6779000,7423000,8809000
14,1,162400,1.52e+11,"Norway",NA,NA,"1995/06/01","1995/06/14",162400,6144000,53487000,15741000,17092000,9318000,14130000
8,250,68350,37939748769,"Bangladesh",NA,NA,"1995/06/16","1995/06/23",68350,23110000,93969000,49064000,45219000,30964000,46266000
37,140,71320,4401104418,"Nepal",NA,NA,"1995/06/19","1995/07/25",71320,4052000,2199000,1988000,3975000,3886000,2209000
11,1,8420,2693768413,"Georgia",NA,NA,"1995/07/01","1995/07/11",8420,167000,1400000,294000,1384000,389000,1198000
3,145,120800,6465137615,"Ghana",NA,NA,"1995/07/05","1995/07/07",120800,1699000,8043000,1074000,2997000,2468000,5514000
8,451,1450,60636022423,"Pakistan",NA,NA,"1995/07/22","1995/07/29",1450,100505000,233252000,241288000,120717000,133029000,85475000
1,61,8900,7.35e+11,"China",NA,NA,"1995/07/25","1995/07/25",8900,119300000,82699000,135017000,120373000,112930000,37153000
101,231,444500,1.69e+11,"Thailand",NA,NA,"1995/08/01","1995/11/09",444500,230504000,193465000,462419000,486707000,251958000,85725000
2,730,132500,39030285468,"Morocco",NA,NA,"1995/08/17","1995/08/18",132500,19037000,18497000,41931000,26204000,54261000,24882000
20,1479,762900,3.6e+11,"India",NA,NA,"1995/09/01","1995/09/20",762900,538021000,521783000,1131225000,423193000,1375406000,404197000
12,416,10940,84644220101,"Philippines (the)",NA,NA,"1995/09/04","1995/09/15",10940,112748000,513282000,217415000,196373000,155118000,44010000
4,35,6520,3.6e+11,"India",NA,NA,"1995/09/05","1995/09/08",6520,89094000,2524000,56070000,31865000,69994000,11788000
4,14,9440,5347445005,"Honduras",NA,NA,"1995/09/09","1995/09/12",9440,775000,4604000,592000,433000,614000,1089000
1,51,10,4879257848,"Myanmar",NA,NA,"1995/09/12","1995/09/12",10,2482000,1613000,216000,4235000,1776000,874000
1,4,18,2392764853,"Albania",NA,NA,"1995/09/20","1995/09/20",18,299000,218000,234000,961000,439000,657000
29,253,123000,20736164459,"Viet Nam",NA,NA,"1995/09/21","1995/10/19",123000,20866000,53100000,35059000,28362000,24991000,30249000
1,8,10,8921947100,"El Salvador",NA,NA,"1995/09/28","1995/09/28",10,1764000,1595000,173000,5070000,1902000,2423000
18,400,16082,37939748769,"Bangladesh",NA,NA,"1995/09/29","1995/10/16",16082,55837000,185728000,99765000,112036000,74999000,43719000
11,1,13740,9573813700,"Panama",NA,NA,"1995/10/10","1995/10/20",13740,541000,3341000,1044000,3820000,1167000,3423000
5,63,14860,1.69e+11,"Turkey",NA,NA,"1995/11/04","1995/11/08",14860,53955000,33287000,43214000,22698000,45571000,44395000
13,2,111700,7.64e+12,"United States of America (the)",NA,NA,"1995/11/28","1995/12/10",111700,454748000,279595000,716972000,683960000,533644000,296954000
9,207,26830,1.72e+11,"South Africa",NA,NA,"1995/12/25","1996/01/02",26830,119158000,21824000,120379000,158263000,137232000,25713000
6,18,550,2.02e+11,"Indonesia",NA,NA,"1995/12/28","1996/01/02",550,67460000,18548000,55973000,65097000,62499000,49446000
11,2,187000,37435317265,"Romania",NA,NA,"1995/12/28","1996/01/07",187000,1877000,2938000,2807000,2612000,2051000,602000
7,35,136100,8.07e+12,"United States of America (the)",NA,NA,"1996/01/15","1996/01/21",136100,1494195000,688469000,1107201000,1179687000,1215756000,351236000
12,25,1324,43161452678,"Morocco",NA,NA,"1996/01/21","1996/02/01",1324,20097000,28008000,28992000,22093000,17694000,7197000
4,4,2140,1.61e+12,"France",NA,NA,"1996/01/27","1996/01/30",2140,161293000,23732000,231186000,211488000,202237000,317059000
8,6,7450,11678424507,"Costa Rica",NA,NA,"1996/02/07","1996/02/14",7450,1587000,29375000,1337000,2456000,1656000,1926000
7,7,482600,8.07e+12,"United States of America (the)",NA,NA,"1996/02/07","1996/02/13",482600,522261000,389040000,639172000,487363000,422055000,692963000
11,27,582300,1.63e+11,"South Africa",NA,NA,"1996/02/09","1996/02/19",582300,25083000,8733000,27382000,17172000,20596000,20291000
5,34,67730,2.27e+11,"Indonesia",NA,NA,"1996/03/27","1996/03/31",67730,40162000,4450000,35764000,30286000,32316000,37040000
5,22,121600,1.2e+11,"Iran (Islamic Republic of)",NA,NA,"1996/03/28","1996/04/01",121600,15287000,8046000,10748000,12863000,12054000,12914000
8,4,330400,4.01e+11,"Australia",NA,NA,"1996/05/02","1996/05/09",330400,22242000,139478000,31730000,21384000,19180000,16291000
5,1,9860,67387788633,"Czech Republic (the)",NA,NA,"1996/05/10","1996/05/14",9860,2799000,32268000,5600000,11566000,5429000,19323000
5,7,19290,5785685311,"Yemen",NA,NA,"1996/05/14","1996/05/18",19290,574000,3712000,652000,478000,493000,1521000
13,338,191000,5785685311,"Yemen",NA,NA,"1996/06/13","1996/06/25",191000,4280000,127304000,12387000,9264000,6582000,11020000
3,17,66760,1.31e+12,"Italy",NA,NA,"1996/06/19","1996/06/21",66760,128465000,44641000,83341000,124884000,101210000,139590000
115,91,7000,1.83e+11,"Thailand",NA,NA,"1996/06/30","1996/10/22",7000,350524000,11556000,140845000,309838000,275653000,82728000
8,22,101600,1.2e+11,"Iran (Islamic Republic of)",NA,NA,"1996/07/07","1996/07/14",101600,19680000,8505000,12178000,12879000,14766000,9009000
15,82,129000,3.93e+11,"India",NA,NA,"1996/07/10","1996/07/24",129000,162072000,165690000,130449000,138213000,145599000,96482000
1,768,60,4521580381,"Nepal",NA,NA,"1996/07/12","1996/07/12",60,6628000,28289000,10106000,5758000,9888000,6582000
25,74,171900,3.93e+11,"India",NA,NA,"1996/07/17","1996/08/10",171900,185406000,4410000,116788000,127897000,156918000,13788000
4,2,53520,8.07e+12,"United States of America (the)",NA,NA,"1996/07/18","1996/07/21",53520,316272000,73162000,573112000,467463000,354105000,141543000
4,10,52910,6.29e+11,"Canada",NA,NA,"1996/07/19","1996/07/22",52910,56155000,146515000,69658000,43079000,43478000,63972000
15,33,69100,46438484108,"Bangladesh",NA,NA,"1996/07/19","1996/08/02",69100,13482000,8611000,11854000,8312000,10176000,5862000
4,85,150,6.1e+11,"Korea (the Republic of)",NA,NA,"1996/07/26","1996/07/29",150,471101000,190721000,385395000,564655000,382135000,706731000
25,4,524900,3.92e+11,"Russian Federation (the)",NA,NA,"1996/08/01","1996/08/25",524900,34070000,46093000,39793000,29621000,29175000,38863000
